"","Agency.Name","Sub.Agency.Publisher","Datasets","Last.Entry"
"1","Commodity Futures Trading Commission","",3,"01/12/2014"
"2","Consumer Financial Protection Bureau","",2,"09/26/2015"
"3","Corporation for National and Community Service","",3,"01/12/2014"
"4","Court Services and Offender Supervision Agency","",1,"01/12/2014"
"5","Department of Agriculture","",757,"02/18/2017"
"6","Department of Agriculture","Department/Agency level/No publisher",3,"02/07/2017"
"7","Department of Agriculture","Farm Service Agency",23,"08/30/2016"
"8","Department of Agriculture","National Agricultural Statistics Service",1,"02/18/2015"
"9","Department of Agriculture","US Forest Service",83,"10/20/2016"
"10","Department of Commerce","",73136,"02/16/2017"
"11","Department of Commerce","Department/Agency level/No publisher",2,"02/26/2016"
"12","Department of Commerce","National Oceanic and Atmospheric Administration",70885,"02/07/2017"
"13","Department of Commerce","US Census Bureau",658,"02/07/2017"
"14","Department of Defense","",178,"01/19/2017"
"15","Department of Defense","National Geospatial-Intelligence Agency",3,"11/17/2015"
"16","Department of Education","",332,"02/24/2017"
"17","Department of Energy","",1430,"02/27/2017"
"18","Department of Energy","Department/Agency level/No publisher",1,"11/30/2016"
"19","Department of Health and Human Services","",1985,"02/24/2017"
"20","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1,"01/12/2014"
"21","Department of Health and Human Services","Department/Agency level/No publisher",27,"01/06/2017"
"22","Department of Health and Human Services","National Institutes of Health",2,"06/17/2014"
"23","Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",1,"01/12/2014"
"24","Department of Homeland Security","",8661,"11/18/2016"
"25","Department of Homeland Security","Department/Agency level/No publisher",2,"05/27/2016"
"26","Department of Homeland Security","Federal Emergency Management Agency",8109,"11/23/2015"
"27","Department of Housing and Urban Development","",173,"01/08/2017"
"28","Department of Justice","",1665,"03/01/2017"
"29","Department of Labor","",396,"03/01/2017"
"30","Department of Labor","Department/Agency level/No publisher",8,"01/11/2017"
"31","Department of State","",133,"04/23/2016"
"32","Department of State","Department/Agency level/No publisher",25,"12/16/2015"
"33","Department of Transportation","",825,"03/01/2017"
"34","Department of Transportation","Department/Agency level/No publisher",146,"11/30/2016"
"35","Department of Veterans Affairs","",802,"02/13/2017"
"36","Department of the Interior","",38609,"03/01/2017"
"37","Department of the Interior","Bureau of Indian Education",1,"01/12/2014"
"38","Department of the Interior","Bureau of Land Management",95,"09/01/2016"
"39","Department of the Interior","Bureau of Ocean Energy Management",86,"02/07/2017"
"40","Department of the Interior","Department/Agency level/No publisher",5,"09/01/2016"
"41","Department of the Interior","Federal Geographic Data Committee",13,"08/02/2016"
"42","Department of the Interior","National Park Service",1417,"10/20/2016"
"43","Department of the Interior","Office of Hearings and Appeals",1,"01/12/2014"
"44","Department of the Interior","Office of the Solicitor",1,"01/12/2014"
"45","Department of the Interior","U.S. Geological Survey",6273,"03/01/2017"
"46","Department of the Interior","US Bureau of Reclamation",13,"08/19/2015"
"47","Department of the Interior","US Fish and Wildlife Service",30701,"03/01/2017"
"48","Department of the Treasury","",260,"02/24/2017"
"49","Election Assistance Commission","",6,"01/12/2014"
"50","Environmental Protection Agency","",2104,"03/01/2017"
"51","Environmental Protection Agency","Department/Agency level/No publisher",1538,"03/01/2017"
"52","Executive Office of the President","",149,"01/12/2014"
"53","Executive Office of the President","Council on Environmental Quality",101,"01/12/2014"
"54","Executive Office of the President","Department/Agency level/No publisher",20,"01/12/2014"
"55","Executive Office of the President","Office of National Drug Control Policy",1,"01/12/2014"
"56","Executive Office of the President","Office of Science and Technology Policy",6,"01/12/2014"
"57","Executive Office of the President","US Trade Representative",17,"01/12/2014"
"58","Executive Office of the President","White House",4,"01/12/2014"
"59","Federal Communications Commission","",4,"02/23/2017"
"60","Federal Deposit Insurance Corporation","",3,"01/12/2014"
"61","Federal Election Commission","",4,"01/12/2014"
"62","Federal Housing Finance Agency","",2,"05/29/2014"
"63","Federal Reserve Board","",5,"01/12/2014"
"64","Federal Trade Commission","",6,"05/20/2014"
"65","General Services Administration","",110,"02/27/2017"
"66","Institute of Museum and Library Services","",78,"02/10/2017"
"67","Merit Systems Protection Board","",3,"01/12/2014"
"68","Millenium Challenge Corporation","",129,"03/01/2017"
"69","National Aeronautics and Space Administration","",15379,"10/22/2016"
"70","National Archives and Records Administration","",48,"05/28/2016"
"71","National Capital Planning Commission","",4,"10/09/2014"
"72","National Endowment for the Humanities","",8,"03/01/2017"
"73","National Labor Relations Board","",56,"01/12/2014"
"74","National Science Foundation","",92,"02/23/2017"
"75","National Transportation Safety Board","",24,"12/17/2015"
"76","Nuclear Regulatory Commission","",32,"02/10/2017"
"77","Occupational Safety and Health Review Commission","",3,"01/12/2014"
"78","Office of Navajo and Hopi Indian Relocation","",4,"01/12/2014"
"79","Office of Personnel Management","",186,"09/12/2015"
"80","Overseas Private Investment Corporation","",3,"01/12/2014"
"81","Pension Benefit Guaranty Corporation","",15,"02/24/2017"
"82","Railroad Retirement Board","",15,"03/01/2017"
"83","Securities and Exchange Commission","",21,"01/12/2014"
"84","Selective Service System","",9,"01/12/2014"
"85","Small Business Administration","",80,"02/27/2017"
"86","Social Security Administration","",950,"03/01/2017"
"87","Social Security Administration","Department/Agency level/No publisher",6,"10/29/2016"
"88","US Agency for International Development","",174,"02/27/2017"
"89","US Consumer Product Safety Commission","",6,"04/29/2016"
"90","US Equal Employment Opportunity Commission","",104,"09/20/2016"
"91","US Equal Employment Opportunity Commission","Department/Agency level/No publisher",2,"09/13/2016"
"92","US International Trade Commission","",3,"11/06/2015"
"93","US Office of the Special Counsel","",3,"01/12/2014"
